                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                        7184      1.5000000000000000E+001      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11                               12                               13                               14                               15                               16                               17                               18                               19                               20                               21                               22                               23                               24                               25                               26                               27                               28                               29                               30                               31                               32                               33                               34                               35                               36                               37                               38                               39                               40                               41                               42                               43                               44                               45                               46                               47                               48                               49                               50                               51                               52                               53                               54                               55                               56                               57                               58                               59                               60 
                    model_number                         star_age                        star_mass                           log_dt                       log_xmstar                     log_abs_mdot                        num_zones                   mass_conv_core                     conv_mx1_top                     conv_mx1_bot                     conv_mx2_top                     conv_mx2_bot                          mx1_top                          mx1_bot                          mx2_top                          mx2_bot                       epsnuc_M_1                       epsnuc_M_2                       epsnuc_M_3                       epsnuc_M_4                       epsnuc_M_5                       epsnuc_M_6                       epsnuc_M_7                       epsnuc_M_8                     he_core_mass                      c_core_mass                      o_core_mass                     si_core_mass                     fe_core_mass           neutron_rich_core_mass                           log_LH                          log_LHe                           log_LZ                         log_Lnuc                         log_Teff                       luminosity                            log_L                            log_R                            log_g                          gravity                     log_center_T                   log_center_Rho                     log_center_P                        center_mu                        center_ye                      center_abar                        center_h1                       center_he4                       center_c12                       center_o16                      surface_c12                      surface_o16                    total_mass_h1                   total_mass_he4                               pp                              cno                         tri_alfa                v_div_csound_surf                      num_retries                      num_backups 
                               1          1.0000000000000001E-005          1.5000000000000000E+001         -4.9999999999999991E+000          3.4474769709615863E+001         -9.8999999999999986E+001                              447          5.6029285939383484E-004          9.9996410245921596E-001          1.2094024005147726E-004          2.3817582529292794E-005          7.8070915732197932E-008          9.9996410245921596E-001          1.2094024005147726E-004          2.3817582529292794E-005          7.8070915732197932E-008         -2.0000000000000000E+001         -2.0000000000000000E+001         -2.0000000000000000E+001         -2.0000000000000000E+001         -2.0000000000000000E+001         -2.0000000000000000E+001         -2.0000000000000000E+001         -2.0000000000000000E+001          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000         -2.1791214482038786E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -2.1791214482038786E+001          3.5534380750902779E+000          1.6415348891832225E+004          4.2152501176585524E+000          2.5240077451013465E+000          5.6596512226611284E-001          3.6809941077824448E+000          5.4769333136255014E+000         -5.4203807958202130E+000          8.2371434869983737E+000          6.2095151096582391E-001          8.5000496627254174E-001          1.2966439685554809E+000          6.9999999999999996E-001          2.7997020236474890E-001          3.4416106108120285E-003          9.3604466091399760E-003          3.4416106108120280E-003          9.3604466091399760E-003          1.0500000000000004E+001          4.1995530354712329E+000         -2.1791214482038786E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          2.1007022278178705E-001                                0                                0 
                               5          7.4416000000000000E-005          1.5000000000000000E+001         -4.6832750158095005E+000          3.4474769709615863E+001         -9.8999999999999986E+001                              447          5.6138177918069643E-004          9.9996410245921596E-001          1.2102603680354286E-004          2.3817582529292794E-005          7.8070915732197932E-008          9.9996410245921596E-001          1.2102603680354286E-004          2.3817582529292794E-005          7.8070915732197932E-008         -2.0000000000000000E+001         -2.0000000000000000E+001         -2.0000000000000000E+001         -2.0000000000000000E+001         -2.0000000000000000E+001         -2.0000000000000000E+001         -2.0000000000000000E+001         -2.0000000000000000E+001          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000         -2.1791213637163544E+001         -9.8999999999999986E+001         -3.7327719462333661E+001         -2.1791213637163544E+001          3.5533953880916620E+000          1.6409277253138502E+004          4.2150894529674012E+000          2.5240127867530027E+000          5.6595503896280075E-001          3.6809086446905828E+000          5.4769327315313401E+000         -5.4203798438298305E+000          8.2371441251063668E+000          6.2095151096582391E-001          8.5000496627254174E-001          1.2966439685554809E+000          6.9999999999999996E-001          2.7997020236474890E-001          3.4416106108120280E-003          9.3604466091399760E-003          3.4416106108120276E-003          9.3604466091399760E-003          1.0500000000000004E+001          4.1995530354712329E+000         -2.1791213637163544E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          2.0275569184734896E-001                                0                                0 
                              10          2.5958682111999992E-004          1.5000000000000000E+001         -4.2873687855713767E+000          3.4474769709615863E+001         -9.8999999999999986E+001                              445          5.5595348567129917E-004          9.9996410245921596E-001          1.2108117188845346E-004          2.3817582529292794E-005          7.8070915732197932E-008          9.9996410245921596E-001          1.2108117188845346E-004          2.3817582529292794E-005          7.8070915732197932E-008         -2.0000000000000000E+001         -2.0000000000000000E+001         -2.0000000000000000E+001         -2.0000000000000000E+001         -2.0000000000000000E+001         -2.0000000000000000E+001         -2.0000000000000000E+001         -2.0000000000000000E+001          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000         -2.1791200090559837E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -2.1791200090559837E+001          3.5532002374752731E+000          1.6380788105002635E+004          4.2143347925049923E+000          2.5240257577545764E+000          5.6592909695965321E-001          3.6806887770761101E+000          5.4769322930855830E+000         -5.4203759685971677E+000          8.2371473878652868E+000          6.2095151096582413E-001          8.5000496627254207E-001          1.2966439685554807E+000          7.0000000000000007E-001          2.7997020236474890E-001          3.4416106108120285E-003          9.3604466091399760E-003          3.4416106108120272E-003          9.3604466091399760E-003          1.0500000000000004E+001          4.1995530354712329E+000         -2.1791200090559837E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.9134140708359140E-001                                0                                0 
                              15          7.2035107872931792E-004          1.5000000000000000E+001         -3.8914625553332525E+000          3.4474769709615863E+001         -9.8999999999999986E+001                              445          1.5047105430702936E-004          9.9996410245921596E-001          1.2121709890449011E-004          9.9930772063903939E-006          7.8070915732197932E-008          9.9996410245921596E-001          1.2121709890449011E-004          9.9930772063903939E-006          7.8070915732197932E-008         -2.0000000000000000E+001         -2.0000000000000000E+001         -2.0000000000000000E+001         -2.0000000000000000E+001         -2.0000000000000000E+001         -2.0000000000000000E+001         -2.0000000000000000E+001         -2.0000000000000000E+001          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000         -2.1791166222624209E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -2.1791166222624209E+001          3.5527316664620860E+000          1.6312930520980135E+004          4.2125319864704789E+000          2.5240614967636934E+000          5.6585761894141906E-001          3.6800830436358360E+000          5.4769324298265074E+000         -5.4203705177371706E+000          8.2371529312880423E+000          6.2095151096582391E-001          8.5000496627254174E-001          1.2966439685554809E+000          6.9999999999999996E-001          2.7997020236474890E-001          3.4416106108120272E-003          9.3604466091399760E-003          3.4416106108120267E-003          9.3604466091399760E-003          1.0500000000000009E+001          4.1995530354712329E+000         -2.1791166222624209E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          2.4160942019148274E-001                                0                                0 
                              20          1.8668799962237360E-003          1.5000000000000000E+001         -3.4955563250951283E+000          3.4474769709615863E+001         -9.8999999999999986E+001                              445          2.2345831435098510E-004          9.9996410245921596E-001          1.2147848669616000E-004          9.9930772063903939E-006          7.8070915732197932E-008          9.9996410245921596E-001          1.2147848669616000E-004          9.9930772063903939E-006          7.8070915732197932E-008         -2.0000000000000000E+001         -2.0000000000000000E+001         -2.0000000000000000E+001         -2.0000000000000000E+001         -2.0000000000000000E+001         -2.0000000000000000E+001         -2.0000000000000000E+001         -2.0000000000000000E+001          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000         -2.1791102595580011E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -2.1791102595580011E+001          3.5527090070074636E+000          1.6319262529068832E+004          4.2127005290016282E+000          2.5241910869385129E+000          5.6559843859178072E-001          3.6778874811821138E+000          5.4769355229694465E+000         -5.4203603128729210E+000          8.2371649850741964E+000          6.2095151096582402E-001          8.5000496627254207E-001          1.2966439685554807E+000          7.0000000000000007E-001          2.7997020236474895E-001          3.4416106108120272E-003          9.3604466091399777E-003          3.4416106108120259E-003          9.3604466091399760E-003          1.0500000000000007E+001          4.1995530354712329E+000         -2.1791102595580011E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          3.5639307806576986E-001                                0                                0 
                              25          4.7198108322034464E-003          1.5000000000000000E+001         -3.0996500948570045E+000          3.4474769709615863E+001         -9.8999999999999986E+001                              445          5.0987286366051536E-004          9.9996410245921596E-001          1.2207185754902568E-004          2.3817582529292794E-005          7.8070915732197932E-008          9.9996410245921596E-001          1.2207185754902568E-004          2.3817582529292794E-005          7.8070915732197932E-008         -2.0000000000000000E+001         -2.0000000000000000E+001         -2.0000000000000000E+001         -2.0000000000000000E+001         -2.0000000000000000E+001         -2.0000000000000000E+001         -2.0000000000000000E+001         -2.0000000000000000E+001          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000         -2.1790959664834187E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -2.1790959664834187E+001          3.5550010834762973E+000          1.6697317082677375E+004          4.2226466945132355E+000          2.5245800167566492E+000          5.6482057895550730E-001          3.6713059568425619E+000          5.4769448783160701E+000         -5.4203379128213731E+000          8.2371978950117359E+000          6.2095148861408211E-001          8.5000496627254174E-001          1.2966439685554809E+000          6.9999999999999996E-001          2.7997020236474890E-001          3.4416106108120254E-003          9.3604466091399760E-003          3.4416106108120259E-003          9.3604466091399760E-003          1.0500000000000009E+001          4.1995530354712329E+000         -2.1790959664834187E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          3.8728544347067378E-001                                0                                0 
                              30          1.1818815689988476E-002          1.5000000000000000E+001         -2.7037438646188803E+000          3.4474769709615863E+001         -9.8999999999999986E+001                              445          3.5645473270983066E-004          9.9996190692189990E-001          1.2333003739329037E-004          1.6905329867597865E-005          7.8070915732197932E-008          9.9996190692189990E-001          1.2333003739329037E-004          1.6905329867597865E-005          7.8070915732197932E-008         -2.0000000000000000E+001         -2.0000000000000000E+001         -2.0000000000000000E+001         -2.0000000000000000E+001         -2.0000000000000000E+001         -2.0000000000000000E+001         -2.0000000000000000E+001         -2.0000000000000000E+001          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000         -2.1790634326270609E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -2.1790634326270609E+001          3.5604834559779812E+000          1.7633116401913627E+004          4.2463290744403972E+000          2.5254564617168636E+000          5.6306768903507953E-001          3.6565177757154212E+000          5.4769661924575495E+000         -5.4202915607765032E+000          8.2372681409509063E+000          6.2095149606466282E-001          8.5000496627254207E-001          1.2966439685554807E+000          7.0000000000000007E-001          2.7997020236474895E-001          3.4416106108120254E-003          9.3604466091399777E-003          3.4416106108120250E-003          9.3604466091399760E-003          1.0500000000000009E+001          4.1995530354712320E+000         -2.1790634326270609E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          3.2000735384245210E-001                                0                                0 
                              35          2.9483411457712123E-002          1.5000000000000000E+001         -2.3078376343807565E+000          3.4474769709615863E+001         -9.8999999999999986E+001                              447          9.4531025475154138E-006          9.9995300564882039E-001          1.2485027913710869E-004          6.2456732581074592E-007          7.8070915732197932E-008          9.9995300564882039E-001          1.2485027913710869E-004          6.2456732581074592E-007          7.8070915732197932E-008         -2.0000000000000000E+001         -2.0000000000000000E+001         -2.0000000000000000E+001         -2.0000000000000000E+001         -2.0000000000000000E+001         -2.0000000000000000E+001         -2.0000000000000000E+001         -2.0000000000000000E+001          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000         -2.1789860428107154E+001         -9.8999999999999986E+001         -3.7628749457997642E+001         -2.1789860428107154E+001          3.5679341622127394E+000          1.9025551895640725E+004          4.2793372636951679E+000          2.5270591438747325E+000          5.5986232471934105E-001          3.6296297398306452E+000          5.4770183176107148E+000         -5.4201827045709523E+000          8.2374334831465834E+000          6.2095148116350152E-001          8.5000496627254174E-001          1.2966439685554809E+000          6.9999999999999996E-001          2.7997020236474890E-001          3.4416106108120233E-003          9.3604466091399760E-003          3.4416106108120250E-003          9.3604466091399760E-003          1.0500000000000009E+001          4.1995530354712329E+000         -2.1789860428107154E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          2.1768683231327826E-001                                0                                0 
                              40          7.3438578398454205E-002          1.5000000000000000E+001         -1.9119314041426323E+000          3.4474769709615863E+001         -9.8999999999999986E+001                              448          0.0000000000000000E+000          9.9992769126985348E-001          1.2473457007801332E-004          0.0000000000000000E+000          0.0000000000000000E+000          9.9992769126985348E-001          1.2473457007801332E-004          0.0000000000000000E+000          0.0000000000000000E+000         -2.0000000000000000E+001         -2.0000000000000000E+001         -2.0000000000000000E+001         -2.0000000000000000E+001         -2.0000000000000000E+001         -2.0000000000000000E+001         -2.0000000000000000E+001         -2.0000000000000000E+001          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000         -2.1788086942229668E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -2.1788086942229668E+001          3.5744219419238501E+000          2.0417539197104456E+004          4.3100033980095214E+000          2.5294166516096865E+000          5.5514730924943312E-001          3.5904369877276952E+000          5.4771401993347180E+000         -5.4199271848947985E+000          8.2378250053007740E+000          6.2095141410827637E-001          8.5000496627254207E-001          1.2966439685554807E+000          7.0000000000000007E-001          2.7997020236474895E-001          3.4416106108120228E-003          9.3604466091399777E-003          3.4416106108120246E-003          9.3604466091399760E-003          1.0500000000000009E+001          4.1995530354712320E+000         -2.1788086942229668E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.1586629628742071E-001                                0                                0 
